row_type,method_id,preset,backend,fit_mode,truth_data_used,trajectory_model_weighted_score_0_100,trajectory_model_interpretation,segment_trajectory_score_0_100,event_aware_join_score_0_100,hard_gap_honesty_score_0_100,locality_scope_score_0_100,mean_position_score_0_100,mean_velocity_evidence_score_0_100,mean_fd_kinematics_score_0_100,mean_smoothness_score_0_100,mean_plausibility_score_0_100,mean_detail_score_0_100,mean_derivative_closure_score_0_100,hard_gap_count,bridged_gap_count,bridge_frame_count,normal_join_count,normal_max_acceleration_jump_mps2,normal_max_jerk_jump_mps3,locality_note,segment_id,component_id,regime_label,trajectory_regime_bucket,t0,t1,n_observations,trajectory_model_score_0_100,position_score_0_100,velocity_evidence_score_0_100,fd_kinematics_score_0_100,smoothness_score_0_100,plausibility_score_0_100,detail_score_0_100,derivative_closure_score_0_100,velocity_weighted_rmse_3d_mps,fd_velocity_rmse_3d_mps,track_angle_median_error_deg,jerk_per_speed_rms_1_s2,snap_proxy_rms_mps4,turn_rate_p95_deg_s,velocity_detail_retention_ratio
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0026,comp_0001,climb__turn_right_slow,airborne,1766852189.0,1766852240.0,49,95.90169052135532,94.28100356040423,100.0,78.6748130881675,100.0,100.0,100.0,100.0,6.162846333886738,30.10744783095473,0.9511215218549869,0.0015396873914228608,0.02931137742962421,2.576427041808373,0.8345423972108198
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0027,comp_0001,climb,airborne,1766852240.0,1766852266.0,27,86.32493731501178,99.67677637870017,100.0,77.27327593479839,100.0,100.0,0.0,100.0,2.4494026631703134,31.34802967879382,0.42494927522928866,0.0006040234488906912,0.018901817485854885,0.060326656004906734,0.07936546503299305
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0028,comp_0001,climb__turn_left_slow,airborne,1766852266.0,1766852384.0,111,96.47891637052804,91.22309194212382,100.0,84.57590835920729,100.0,100.0,100.0,100.0,6.0493803365515175,24.870201873419315,1.2997157063276326,0.0012839218352399793,0.020760827929753266,1.8650836661022778,0.951052014672664
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0029,comp_0001,climb,airborne,1766852384.0,1766852434.0,51,88.81078512648108,96.54720172190856,100.0,87.3689076598172,100.0,100.0,12.460956942813008,100.0,2.5909843483460575,22.42270759500136,0.715669504965509,0.0004197179121531825,0.0068614453112816,0.04661362445818969,0.11364458374559512
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0030,comp_0001,energy_constant,airborne,1766852434.0,1766852464.0,31,87.16004530825022,100.0,100.0,82.25028317656383,100.0,100.0,0.0,100.0,2.2109349527288154,26.899023627595888,0.5658434819746518,0.0006012095407084686,0.01333705507853599,0.05189442799045038,0.07162754554495274
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0031,comp_0001,level_accel__turn_left_slow,airborne,1766852464.0,1766852585.0,105,98.51500690930509,100.0,100.0,90.71879318315669,100.0,100.0,100.0,100.0,5.372960126211766,19.412072202559717,0.7590417870890314,0.0013318844494033997,0.026064931682793686,2.1415535730082893,0.9722695467924262
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0032,comp_0001,energy_constant,airborne,1766852585.0,1766852739.0,153,85.65280745891461,91.92928173725413,100.0,78.88308531527565,100.0,100.0,0.0,100.0,1.2890844184347832,29.884154467238492,0.5792428351954448,0.00010640595876013587,0.0038764882770616826,0.017211529924552642,0.04198690089968862
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0033,comp_0001,descent__turn_right_slow,approach_final,1766852739.0,1766852770.0,25,97.0189808490587,96.78278809503989,100.0,83.78153923533692,100.0,100.0,100.0,100.0,4.425558520526752,25.581769902210603,1.1912931346282298,0.0013212530924775067,0.01854048048547587,1.962258603129647,0.5819610104803106
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0034,comp_0001,level_decel__turn_right_slow,airborne,1766852770.0,1766852804.0,29,97.62992441431632,99.08207614452597,100.0,85.87547048108243,100.0,100.0,100.0,100.0,3.962780390199998,23.692599509307335,0.8014398568446699,0.0013998229074312749,0.01596842519641299,1.846079398298296,0.5079702048037873
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0035,comp_0001,level_decel__turn_left_slow,airborne,1766852804.0,1766852947.0,132,97.46759116369724,100.0,100.0,84.17244477310767,100.0,100.0,100.0,100.0,6.395015443862011,25.198593083357324,0.8144100016080432,0.0013931498783575232,0.02814195688766514,1.869019389428002,0.9765709630261326
